,MSE,RMSE,MAE,Bias,Overall correlation,RMSE improvement vs interp (%),MAE improvement vs interp (%)
Interpolation,2.461786985397339,1.569008231163025,1.193423867225647,-0.5132628083229065,0.9413672355800161,0.0,0.0
U-Net T+Elev,1.3685070276260376,1.1698321104049683,0.9023762941360474,-0.07809390127658844,0.9634283133345133,25.441301889293978,24.387611232059406
Transformer T+Elev,1.333456039428711,1.1547536849975586,0.8840363025665283,-0.12080841511487961,0.9654889608229822,26.402318224831795,25.924365445979564
