,Interpolation RMSE,Interpolation MAE,Interpolation Spatial corr,Interpolation Std ratio,U-Net T+Elev RMSE,U-Net T+Elev MAE,U-Net T+Elev Spatial corr,U-Net T+Elev Std ratio,Transformer T+Elev RMSE,Transformer T+Elev MAE,Transformer T+Elev Spatial corr,Transformer T+Elev Std ratio
2022-07-01,1.653821,1.2413436,0.7980600735458585,1.2209535,0.9932786,0.79814607,0.9114867144646505,0.9782857,0.9468308,0.753755,0.9211341394870569,0.96455985
2022-07-02,1.4394954,1.1045134,0.8571004916867433,1.0323826,0.9626366,0.7724423,0.9481860430545755,0.94194806,0.9315957,0.74616915,0.95041087767497,0.9513551
2022-07-03,1.3730608,1.0528798,0.8876918429212551,1.0986667,0.81661457,0.6411822,0.957270150687167,1.0269688,0.7327546,0.5706968,0.962523122820316,0.9952677
2022-07-04,1.371415,1.0514406,0.897345917212567,1.038213,0.78379005,0.6214677,0.9641532783303418,0.9906052,0.8147675,0.65220016,0.9601742497438753,0.9245758
2022-07-05,1.7258012,1.306787,0.8669718580206496,0.8996191,1.5752838,1.1078731,0.9111334892045192,0.85362846,1.5239694,1.0658715,0.9134298947729583,0.8276041
2022-07-06,1.4389352,1.0877131,0.9425533062652055,1.0669913,0.8861853,0.7056862,0.9754232226162151,1.0173634,0.78575236,0.61351216,0.9797832610547353,0.9603487
2022-07-07,1.4487665,1.1028818,0.7984416550475149,1.0395669,1.1430118,0.86973476,0.8528489976862119,0.98929846,1.14357,0.85885024,0.8433821041849915,0.91885006
2022-07-08,1.46352,1.1356616,0.8501153470277975,1.149404,0.8263268,0.63292885,0.93455609581932,0.9951403,0.84124064,0.6406186,0.9326097094723023,0.9722141
2022-07-09,1.5189219,1.1776901,0.829252369022663,1.0084813,1.6196176,1.2192286,0.8231053584573899,0.91178143,1.5794854,1.1848142,0.813020905783152,0.8376216
2022-07-10,1.2777358,0.9495231,0.7428549683696647,1.0691395,0.9416288,0.71133816,0.8681895423138275,0.8729412,0.9132505,0.6971341,0.857687913805293,0.81455845
2022-07-11,1.4369986,1.1130393,0.7247412821744642,1.2756109,0.85594046,0.68374485,0.8862814606718236,0.9101712,0.82736397,0.6608469,0.8816945311741073,0.8736932
2022-07-12,1.6145666,1.2934226,0.8228389027445059,1.0898805,1.0372691,0.8316,0.9146043433224679,0.90028965,1.101593,0.88434505,0.9029587715483627,0.88196695
2022-07-13,1.6237664,1.2167366,0.8663267939094454,1.1169271,0.8923221,0.6841005,0.9479213603635676,0.99903405,0.969953,0.7370171,0.9429247456000924,0.973695
2022-07-14,1.810975,1.3325276,0.8758244837061818,1.0484638,1.3676165,0.9876216,0.9176392669330461,0.99861145,1.2037954,0.9074424,0.935429810787281,0.9346497
2022-07-15,1.4542744,1.1186966,0.8062195334506775,1.1583543,0.776411,0.6152995,0.9323275920374215,1.048872,0.749508,0.58780724,0.9338467912960972,1.0115666
2022-07-16,1.6024361,1.25264,0.6504362252562187,1.0056789,1.0525591,0.8270633,0.8152760767980469,0.9559515,1.0753398,0.8449559,0.808880531652193,0.9075682
2022-07-17,1.6348265,1.2077799,0.6747780970821661,1.2146813,0.9702376,0.7599731,0.8521717898848864,1.0025079,0.98409516,0.76928884,0.843627042995708,0.97520286
2022-07-18,1.5850022,1.2371978,0.8991153885205241,1.0512534,1.0151904,0.78263235,0.952118005214049,0.9416565,1.0817364,0.8425614,0.9452153018186393,0.92514694
2022-07-19,1.4260348,1.0091271,0.7680382262862026,0.94494027,0.9021401,0.71865773,0.912394347135382,0.88223,0.9097718,0.7223019,0.9087656391010617,0.8864337
2022-07-20,1.7603722,1.2948618,0.7412125596635102,1.2363492,1.2954373,1.077732,0.8934318694200386,1.0830259,1.2519726,1.0139055,0.8955821254586338,1.044395
2022-07-21,1.5719697,1.1986922,0.7876131428191047,1.0878296,1.1303463,0.9306008,0.8936152551593738,0.9351067,1.0548563,0.8526788,0.9064694008533397,0.94288826
2022-07-22,1.6265571,1.1830093,0.8079858099982339,1.0831281,1.1229715,0.92390937,0.9369720784707267,0.9746503,1.1716977,0.956048,0.9244391202708119,0.9591184
2022-07-23,1.6345879,1.1690882,0.7539038560886678,1.1057124,1.2176514,1.0134958,0.9175017446820124,0.969717,1.1851941,0.97407085,0.910577395647439,0.94560415
2022-07-24,1.5456874,1.1555648,0.8233249790817317,1.0764695,1.0695665,0.86355615,0.9248193182524092,0.9142584,1.0348662,0.82522374,0.925378797088305,0.91091734
2022-07-25,1.5113189,1.1677784,0.8831610581304615,1.0224574,1.308761,1.0455942,0.9190166569589726,0.932608,1.324243,1.0602173,0.9107951770292992,0.92680025
2022-07-26,1.38571,1.0990148,0.8149801817447733,1.1209022,0.9296038,0.76763195,0.9058644760526157,1.0886499,0.91416466,0.7467995,0.9033730627589242,1.0655762
2022-07-27,1.394866,1.0750734,0.822180480336077,0.9944949,0.8321006,0.6638863,0.9279476256948525,0.9279724,0.8265832,0.6708742,0.9286104335346214,0.92775095
2022-07-28,1.5424932,1.1648713,0.8234566788836017,1.1328923,0.8527937,0.67551136,0.9362571877139835,1.0076894,0.8550765,0.66746956,0.9381188826414184,1.0005394
2022-07-29,1.5567675,1.2068108,0.8532287156507157,0.97536737,0.95789456,0.76997626,0.9339884819904397,0.9061761,1.0514363,0.84403974,0.923412572791931,0.87826294
2022-07-30,1.2860913,0.9968893,0.9310539178726577,1.0590674,0.7911091,0.6333364,0.9692476196454667,0.99880254,0.79408276,0.6338858,0.968350087182712,0.9738759
2022-07-31,1.4346104,1.0701731,0.8012394783188311,0.94256365,0.9026339,0.687938,0.9302723477729196,0.8605414,0.9059356,0.6804181,0.9270099435403732,0.8423461
2022-08-01,1.362086,0.9958523,0.7547002661183532,0.90147007,1.0038031,0.7596315,0.8604629246102065,0.8377181,1.0215635,0.7887507,0.8574384232540989,0.784097
2022-08-02,1.4208913,1.0435722,0.8852467077690245,1.0961486,0.95281786,0.75943446,0.9357466598842042,0.9485409,0.9562865,0.771588,0.9385526412880189,0.9760856
2022-08-03,1.3833644,1.0203538,0.8560930703464104,1.1485242,0.79918987,0.623233,0.9423281598953144,1.0151215,0.7911276,0.61860144,0.942261838830827,0.97733104
2022-08-04,1.7253335,1.2657248,0.8189892524365288,1.0190413,1.3435887,1.1016208,0.8902163361573503,0.7996609,1.2660295,1.0333449,0.9018787652964633,0.83233917
2022-08-05,1.9112487,1.5040089,0.7363771883030971,1.2373503,1.1659693,0.9544501,0.8802630193974358,1.0148782,1.2116654,0.9948032,0.8832471900248526,1.0292829
2022-08-06,1.5390316,1.1439592,0.6115969532952351,1.1061211,1.0254787,0.83667153,0.8063460490326352,0.9220319,0.9905361,0.8021084,0.8158431278407834,0.91484076
2022-08-07,1.5173459,1.1710206,0.6681200209269076,1.2013924,1.0790241,0.8906723,0.8404709043602828,1.0638661,1.0858746,0.8864905,0.8316525945180642,1.0709829
2022-08-08,1.8706481,1.3259757,0.9296859376854852,0.84021384,1.9619906,1.3961183,0.9389901811798349,0.7395561,2.154564,1.52468,0.9268342451638968,0.70426726
2022-08-09,1.7165688,1.2969353,0.9576155536917761,0.9968564,1.6679755,1.2589124,0.9643783890140952,0.8902737,1.7235136,1.3484001,0.9627230909796277,0.86164
2022-08-10,1.3122461,1.0462028,0.948201457551096,1.0109533,1.0496761,0.8308529,0.9645416279212986,0.9726051,0.93539846,0.72555864,0.9726403474215956,0.9460114
2022-08-11,1.40316,1.1110095,0.8845708405963129,1.2022345,1.062009,0.84885174,0.9394279398911884,1.0723088,1.0278986,0.81812066,0.9357416440350638,1.0410357
