,Interpolation RMSE,Interpolation MAE,Interpolation Bias,Interpolation Spatial corr,U-Net T+Elev RMSE,U-Net T+Elev MAE,U-Net T+Elev Bias,U-Net T+Elev Spatial corr,Transformer T+Elev RMSE,Transformer T+Elev MAE,Transformer T+Elev Bias,Transformer T+Elev Spatial corr,Truth Tmax mean (deg C),Dew point mean (deg C),U-Net minus Transformer RMSE,Transformer beats U-Net,U-Net beats interpolation,Transformer beats interpolation,Precip mean (mm day-1),Gust max mean (m s-1),Low cloud cover mean (%),Total cloud cover mean (%),Temperature regime,Humidity regime,Rain regime,Wind regime,Cloud regime,Low-cloud regime,Rainy day,Very wet day,Very windy day,Very cloudy day,Hot and wet,Hot and cloudy,Hot and humid
2022-06-14,1.6143192,1.2013531,-0.3514739,0.8314611028375071,1.198167,0.90787065,0.24509527,0.9035513786437598,1.1055245,0.82155466,0.13633572,0.9032884375400245,25.657751,14.01032,0.09264243,True,True,True,5.4348216,10.6880245,29.629381,60.195084,Moderate,Dry,Wet,Moderate wind,Partly cloudy,High low-cloud,True,False,False,False,False,False,False
2022-06-15,1.6548232,1.2604517,-0.47841153,0.8564222079751362,1.0637538,0.8336965,0.017559893,0.9221816256390761,1.0752048,0.8184833,-0.10408237,0.9165858479520861,27.853992,15.063416,-0.011451006,False,True,True,2.286413,11.546665,26.994442,51.15875,Moderate,Moderate humidity,Dry,Windy,Clear,Moderate low-cloud,True,False,False,False,False,False,False
2022-06-16,1.6193908,1.275701,-0.5860072,0.9210356443631804,1.3434589,1.0806487,-0.01566403,0.9373265746885292,1.4872283,1.1879487,-0.08758819,0.9296713116709919,26.022928,16.777561,-0.14376938,False,True,True,3.2240272,13.045958,21.613737,55.847836,Moderate,Moderate humidity,Moderate rain,Windy,Partly cloudy,Moderate low-cloud,True,False,False,False,False,False,False
2022-06-17,1.6379265,1.1971956,-0.2459668,0.9292059778084961,1.0027492,0.7909469,0.18547069,0.971424969740683,1.0127721,0.8152763,0.15689243,0.971098207036022,27.826757,15.952876,-0.010022879,False,True,True,3.0542364,15.730555,29.008615,57.801933,Moderate,Moderate humidity,Moderate rain,Windy,Partly cloudy,Moderate low-cloud,True,False,True,False,False,False,False
2022-06-18,2.4984274,1.89992,1.4826777,0.8917339818275013,2.66455,2.152625,2.0583408,0.9275972427999064,2.721399,2.1841042,2.1020317,0.9251927373712466,18.285389,8.322987,-0.056849003,False,False,False,7.023762,16.09768,46.21127,60.22172,Cool,Dry,Wet,Windy,Partly cloudy,High low-cloud,True,False,True,False,False,False,False
2022-06-19,1.1554439,0.92344886,-0.09794681,0.9745040599901761,1.1788238,0.93874216,0.6816439,0.980497103515567,1.1188666,0.8845405,0.62734616,0.9819539573119811,19.15065,4.483504,0.059957266,True,False,True,4.341985,14.212842,26.200638,51.39291,Cool,Dry,Moderate rain,Windy,Clear,Moderate low-cloud,True,False,True,False,False,False,False
2022-06-20,1.4338787,1.1216466,-0.6135261,0.902692855850707,0.8756685,0.6964246,0.04919386,0.9530642027116503,0.8487533,0.6826681,-0.015418835,0.9512919472628372,23.419762,6.712708,0.026915252,True,True,True,0.57759964,10.041845,20.2115,47.44174,Cool,Dry,Dry,Moderate wind,Clear,Moderate low-cloud,False,False,False,False,False,False,False
2022-06-21,1.953846,1.5347078,-0.7721457,0.926031535808105,1.3077295,1.0891439,-0.13440095,0.9508913191891948,1.3416538,1.1024112,-0.33758092,0.9459833449373704,25.186241,11.510333,-0.03392434,False,True,True,1.7528459,8.297846,19.41115,54.15671,Cool,Dry,Dry,Calm,Partly cloudy,Moderate low-cloud,True,False,False,False,False,False,False
2022-06-22,1.9853475,1.5869497,-0.25907278,0.939699798201124,1.725116,1.3890957,0.29923823,0.9577168425014506,1.8097969,1.4501113,0.1787343,0.960197308997199,24.902124,14.964762,-0.084680915,False,True,True,3.65291,10.17328,27.31274,56.478584,Cool,Moderate humidity,Moderate rain,Moderate wind,Partly cloudy,Moderate low-cloud,True,False,False,False,False,False,False
2022-06-23,1.6431901,1.2490628,-0.7929804,0.8584389082215323,1.2553161,0.98998255,-0.18616912,0.890127474771668,1.1983507,0.95895034,-0.22381642,0.8952703566440744,22.878584,14.878558,0.05696547,True,True,True,6.2289762,11.162113,37.26961,65.34104,Cool,Moderate humidity,Wet,Windy,Cloudy,High low-cloud,True,False,False,False,False,False,False
2022-06-24,1.750422,1.3598549,-0.7106556,0.689346633734237,1.1058666,0.8985719,-0.11131348,0.811257443443709,1.0190467,0.8164512,-0.27966717,0.8243765969351671,26.813143,15.032051,0.08681989,True,True,True,5.975828,10.601562,31.961864,56.947372,Moderate,Moderate humidity,Wet,Moderate wind,Partly cloudy,High low-cloud,True,False,False,False,False,False,False
2022-06-25,1.9876153,1.4564766,-0.769989,0.5312896009546675,1.2046623,0.99148643,-0.58415574,0.7642160563415678,1.2002188,0.9641027,-0.6496556,0.7685038946295485,30.118532,15.604464,0.0044435263,True,True,True,1.7799065,8.208494,16.463554,35.39353,Hot,Moderate humidity,Dry,Calm,Clear,Low low-cloud,True,False,False,False,False,False,False
2022-06-26,1.9704638,1.4493532,-0.49511334,0.6137573311558944,1.0248519,0.8451291,-0.4199678,0.8427989580157669,0.9939789,0.79933393,-0.42363957,0.8533121605126897,30.324738,17.151903,0.030873,True,True,True,1.4307052,9.102647,20.663622,50.65896,Hot,Moderate humidity,Dry,Calm,Clear,Moderate low-cloud,True,False,False,False,False,False,False
2022-06-27,1.4098324,1.0908087,0.1001809,0.8434860526275989,1.2397507,1.0011915,0.72669506,0.9177625419323031,1.1383004,0.94495815,0.6560677,0.9239917202912343,24.725908,16.18755,0.101450324,True,True,True,5.3651114,12.338678,27.41454,66.20666,Cool,Moderate humidity,Wet,Windy,Cloudy,Moderate low-cloud,True,False,False,False,False,False,False
2022-06-28,1.3592094,1.0541362,-0.5152126,0.8178031435543206,0.8760164,0.690693,0.0489974,0.9197488551555331,0.7860345,0.6161889,-0.01056995,0.9279233584441325,24.202265,10.776474,0.089981854,True,True,True,3.3627393,10.614746,17.92048,53.647545,Cool,Dry,Moderate rain,Moderate wind,Partly cloudy,Low low-cloud,True,False,False,False,False,False,False
2022-06-29,1.5738273,1.1710033,-0.2119083,0.8018113991357543,0.8654086,0.6879738,0.35466132,0.9390626896520331,0.81103307,0.65040684,0.25266856,0.9408716059796401,26.519312,12.012674,0.05437553,True,True,True,2.158888,9.159255,12.499089,56.48185,Moderate,Dry,Dry,Calm,Partly cloudy,Low low-cloud,True,False,False,False,False,False,False
2022-06-30,1.5294496,1.1487781,-0.48930046,0.9150925581668788,0.7722448,0.6185144,-0.10366683,0.9742705058232386,0.71601486,0.55432236,-0.14398864,0.9772136822256994,27.494497,13.30455,0.05622995,True,True,True,1.4016498,9.646769,11.186895,42.18805,Moderate,Dry,Dry,Moderate wind,Clear,Low low-cloud,True,False,False,False,False,False,False
2022-07-01,1.653821,1.2413436,-0.5296717,0.7980600735458577,0.9932786,0.79814607,-0.44730482,0.91148671446465,0.9468308,0.753755,-0.4491256,0.9211341394870567,30.384014,16.41993,0.046447814,True,True,True,1.1068159,11.830674,4.6203294,53.470207,Hot,Moderate humidity,Dry,Windy,Partly cloudy,Low low-cloud,True,False,False,False,False,False,False
2022-07-02,1.4394954,1.1045134,0.085215084,0.8571004916867433,0.9626366,0.7724423,0.47166252,0.9481860430545759,0.9315957,0.74616915,0.4397597,0.9504108776749697,28.10535,17.30913,0.031040907,True,True,True,4.7638893,13.201784,15.162642,63.707043,Moderate,Moderate humidity,Wet,Windy,Partly cloudy,Low low-cloud,True,False,True,False,False,False,False
2022-07-03,1.3730608,1.0528798,-0.27586776,0.8876918429212551,0.81661457,0.6411822,0.20670252,0.957270150687168,0.7327546,0.5706968,0.103069924,0.962523122820316,26.784338,12.348223,0.08385998,True,True,True,7.296897,11.973098,19.863699,57.694107,Moderate,Dry,Wet,Windy,Partly cloudy,Moderate low-cloud,True,True,False,False,False,False,False
