epoch,train_loss,val_loss
1,0.8271943340312425,0.7030654134957687
2,0.6971683155753793,0.5807641062183656
3,0.6572504587113448,0.5966679376104603
4,0.6245822271575099,0.4863024423087853
5,0.5978640185954641,0.5489885863186657
6,0.5786402276301548,0.5767539942610092
7,0.5678536818965895,0.515153438500736
8,0.5497719866460193,0.5333605706691742
9,0.518630432045978,0.4974145077276921
10,0.511793764320882,0.49642432340677234
11,0.5080485852004735,0.4986088701348374
12,0.5039994093318826,0.5305627241082813
13,0.49377611668213556,0.5225528774486072
14,0.49191590915146355,0.5127266576324684
15,0.49025852405370235,0.5096079333536867
16,0.4892867627623971,0.4932805647452672
17,0.48743753104515425,0.5010208211083343
18,0.48653730995595046,0.5030713133189989
19,0.4861677393692309,0.4991856014383012
20,0.48630286398550465,0.5046653656855874
21,0.48561860716452043,0.5036275123340496
22,0.4854774703559395,0.504188123172608
23,0.48506585206810887,0.504720841197
24,0.48557346186321443,0.5049384620742522
25,0.4851187794582249,0.5047850943561913
26,0.4852661200259861,0.5047532006882239
27,0.4855543630756012,0.5045297007629836
28,0.4847876560156078,0.5043875801822414
29,0.48519149115756666,0.5043725963088049
30,0.4852466641560845,0.5043885932452437
