epoch,train_loss,val_loss
1,0.8028679333235088,0.6810531970383464
2,0.6748120696102727,0.6406513465487439
3,0.6169861264577993,0.649527027555134
4,0.5880292752241925,0.7940441443436388
5,0.5697092712266494,0.5453411543714828
6,0.5496563856879961,0.5826218754485033
7,0.5373208412316626,0.40428193043107574
8,0.5295755227929667,0.5175714916077213
9,0.5202451263057831,0.45632835574772046
10,0.5190000032464754,0.4784631275612375
11,0.5085831050946457,0.4441053811190785
12,0.47936862499135585,0.49260285323944647
13,0.4758060654663658,0.4592724194129308
14,0.4723757438924274,0.5004185621721157
15,0.4666285004713988,0.45043086811252264
16,0.45725183993646157,0.4755852591732274
17,0.45648306884400086,0.4750347174164178
18,0.454559818114787,0.4681998981513839
19,0.4536382914680638,0.48808699004028155
20,0.451623890949605,0.4789138507583867
21,0.4510876099564118,0.47849000688048376
22,0.4505712034636831,0.4700732516205829
23,0.45054122188407714,0.48248621087143384
24,0.45071342403337666,0.4779568085635918
25,0.44979039253986675,0.476299572897994
26,0.45001109609342005,0.47603660260421643
27,0.4497664842234596,0.4766936652038408
28,0.4497799496219687,0.47642682471137116
29,0.44911823423421626,0.47634790708189423
30,0.45040614418770686,0.47620043482469476
