epoch,train_loss,val_loss
1,0.941859681628116,0.7625494996706644
2,0.9072728650793603,0.7156417015670002
3,0.8691210008867818,0.674130374106808
4,0.8159427515974852,0.6761205697405166
5,0.8014164144169003,0.6361494107522826
6,0.804213643892406,0.6853251301723978
7,0.7804319010173701,0.6167350376861683
8,0.7743715624787442,0.6704895936924479
9,0.7630211046685889,0.6213683468708093
10,0.7550024277012736,0.6106614314991495
11,0.7543866894883476,0.6644562595132468
12,0.7535444701290785,0.6319521700126537
13,0.7417140379377579,0.5636817596960759
14,0.7431652023535844,0.6898489214371943
15,0.732407886185417,0.633061743300894
16,0.7251793713536906,0.6541326555652894
17,0.7265818050851538,0.6050850256629612
18,0.7087185243720048,0.6068268003671066
19,0.7038607691463671,0.5876265746959741
20,0.7040125825857952,0.5998372323271157
