epoch,train_loss,val_loss
1,0.7974615580566415,0.6206546970035719
2,0.6698536973114144,0.47987424722616223
3,0.6035477433788422,0.4562117470347363
4,0.5793839221824497,0.4418638923029969
5,0.5624226036415493,0.5733029851015063
6,0.5404445605024321,0.4420572465312654
7,0.5385209657848563,0.4447022458349449
8,0.5216859918710023,0.42257731721021125
9,0.5178483509771884,0.5535132453061532
10,0.5074467484069907,0.4764175838318424
11,0.5039826241797113,0.4415607223476189
12,0.49314689486195895,0.4175663689772288
13,0.4874817637952569,0.43298743211704754
14,0.48057539771296065,0.4326016682645549
15,0.47573156821918705,0.4612982426432596
16,0.46824507759692197,0.4466790941314421
17,0.43695768478669617,0.48889571406703064
18,0.42720909365527415,0.5067815756884174
19,0.4216481889139869,0.5154809843802798
20,0.41775775579756946,0.45265969806823175
21,0.4063617714959915,0.4882126966680306
22,0.4040402863132053,0.4999958656836247
23,0.40192347464899725,0.4685548243747241
24,0.4006823553305196,0.45946530976157257
25,0.3991252172320604,0.48351888876894245
26,0.39812154334797195,0.480536252476167
27,0.3978887136931823,0.4853319111077682
28,0.3980064065764643,0.4815086415712384
29,0.3974823662222659,0.4827669033969658
30,0.3969899602149117,0.4837239099585492
