epoch,train_loss,val_loss
1,0.7660029983356834,0.5288659446481345
2,0.6467574303564818,0.48673180350358936
3,0.5961030190405638,0.717439667902131
4,0.579402273320497,0.47633253232292505
5,0.5628047344409083,0.43402482547621796
6,0.5451836498364704,0.473088911909988
7,0.5315149385200758,0.49697750526061957
8,0.5206746048799096,0.4240806813257328
9,0.5202353488594226,0.5128192964239396
10,0.5107625937707364,0.4194425102593242
11,0.5027808570548108,0.41738671669061633
12,0.49626116086334604,0.453289907047714
13,0.49102056670925437,0.4140853793292806
14,0.4875558655990343,0.47062376400698785
15,0.4842359661987772,0.44552670376024384
16,0.4762669485616466,0.45440253615379333
17,0.47179150165354905,0.4524014613766601
18,0.4371966096301919,0.4462615055018577
19,0.4276357404631935,0.4805049436247867
20,0.42342182622212293,0.4736752905275511
21,0.4190041429322699,0.5106480786765831
22,0.4071856046977796,0.4786512583926104
23,0.40508761841727065,0.49128749124381854
24,0.4030577198046023,0.4968914849602658
25,0.4015932622913365,0.48433664376321045
26,0.39914060989288225,0.49309249222278595
27,0.39808493535496825,0.4948409277459849
28,0.3977142923961242,0.4928200810715772
29,0.3977230932537969,0.49992409802001453
30,0.3968288206263047,0.4961129835118418
