epoch,train_loss,val_loss
1,0.9393487272600833,0.7259683488071829
2,0.8293736166484842,0.6978928593621738
3,0.7851624820270582,0.6035815080006918
4,0.740577208777587,0.6202008084974427
5,0.7174501698677272,0.5432774934215822
6,0.7097002292388637,0.5175806037757708
7,0.7105140203196615,0.5403074959050054
8,0.6913731615112357,0.5425207182980966
9,0.6860637528399853,0.5831291191819785
10,0.6859840859810329,0.5127949887427731
11,0.668154664115993,0.4733540329380312
12,0.661417307651834,0.5332330784935883
13,0.6631344103976845,0.5170275931772979
14,0.6372966726802852,0.5553418276966482
15,0.6302728115557533,0.5099921494290449
16,0.6142998738747166,0.49825232184451557
17,0.6131900232498378,0.4785393528316332
18,0.6111410084250862,0.47159721108450403
19,0.6080162852525165,0.4729932892149773
20,0.6119190099855855,0.46126213626585144
