epoch,train_loss,val_loss
1,0.8640700874666873,0.6743190279905347
2,0.7434627165510671,0.6524748042009879
3,0.7098371072819358,0.5612207893012227
4,0.7125766211843599,0.605764325114264
5,0.692561992382294,0.5834890439890433
6,0.6741697694125929,0.5317921258401179
7,0.6466407619024578,0.5302190495573956
8,0.6287762341292008,0.528817027375318
9,0.6178098314141245,0.4765225562496462
10,0.6063602343031144,0.46984794390374335
11,0.6021874744777549,0.4667587591254193
12,0.5912971804834886,0.44972400648006494
13,0.6037444942875912,0.5133637708166371
14,0.5783820800159288,0.5207348768261896
15,0.5695713975336786,0.4679427220337633
16,0.5708545180425492,0.4368091165155604
17,0.5671797784160422,0.4917033591132233
18,0.5664574135631937,0.42853849478389905
19,0.5534794560422613,0.46032122382219287
20,0.5513296585606765,0.4575038824392402
