epoch,train_loss,val_loss
1,0.7131208747420759,0.6001037419706151
2,0.6128243596657462,0.472682125326516
3,0.5831489895792248,0.5745211563248566
4,0.5653840302057069,0.44852409544198407
5,0.5556886832419468,0.5558643168297367
6,0.5429860046580945,0.5104149614555248
7,0.5368994863136954,0.46478470814400824
8,0.5325254710642642,0.5016154767810435
9,0.5137037331370522,0.4405746144661005
10,0.5107855873195203,0.4695023401923802
11,0.5071577592081554,0.47559868857480475
12,0.5073165999260866,0.4652601912401725
13,0.5067331465621835,0.43681923073271045
14,0.504855033325658,0.5000427460324937
15,0.505251699781527,0.4790750068166982
16,0.5045602823558607,0.46662287522053375
17,0.5027655557445858,0.45451784997746564
18,0.49945885249897326,0.45988624165023584
19,0.49644671329371715,0.447718714458355
20,0.4962455272947351,0.4449075119218964
