Condition,n days,U-Net worse than interpolation (%),Transformer worse than interpolation (%),Transformer beats U-Net (%),Mean U-Net RMSE,Mean Transformer RMSE,Mean interpolation RMSE
All days,368,4.076086956521739,4.076086956521739,61.141304347826086,1.1346638,1.1150922,1.5524898
Hot,123,0.8130081300813009,0.8130081300813009,55.28455284552846,1.1748356,1.1617278,1.6480573
Cool,123,9.75609756097561,8.130081300813007,73.98373983739837,1.1893536,1.1515466,1.4868953
Cloudy,123,8.130081300813007,9.75609756097561,54.47154471544715,1.2397696,1.2391231,1.5481263
Sunny,123,1.6260162601626018,0.8130081300813009,68.29268292682927,1.0830582,1.0490156,1.5935242
Humid,123,1.6260162601626018,2.4390243902439024,52.84552845528455,1.2070582,1.197167,1.6100286
Dry,123,6.504065040650407,4.878048780487805,75.60975609756098,1.091602,1.052986,1.4959695
Hot and cloudy,18,5.555555555555555,5.555555555555555,33.33333333333333,1.258386,1.2793208,1.6372797
Hot and humid,84,1.1904761904761905,1.1904761904761905,59.523809523809526,1.2384332,1.2166741,1.6535094
