,Interpolation RMSE,Interpolation MAE,Interpolation Bias,Interpolation Spatial corr,U-Net T+Elev RMSE,U-Net T+Elev MAE,U-Net T+Elev Bias,U-Net T+Elev Spatial corr,Transformer T+Elev RMSE,Transformer T+Elev MAE,Transformer T+Elev Bias,Transformer T+Elev Spatial corr,Truth Tmax mean (deg C),Truth Tmax p95 (deg C),Dew point mean (deg C),Solar radiation mean (MJ m-2 day-1),U-Net minus Transformer RMSE,Transformer beats U-Net,U-Net beats interpolation,Transformer beats interpolation,Temperature regime,Humidity regime,Cloud regime,Hot and cloudy,Hot and humid,Cool and cloudy
2022-06-20,1.4338787,1.1216466,-0.6135261,0.902692855850707,0.8756685,0.6964246,0.04919386,0.9530642027116503,0.8487533,0.6826681,-0.015418835,0.9512919472628372,23.419762,26.850006103515625,6.712708,1.1444343,0.026915252,True,True,True,Cool,Dry,Sunny,False,False,False
2022-06-21,1.953846,1.5347078,-0.7721457,0.926031535808105,1.3077295,1.0891439,-0.13440095,0.9508913191891948,1.3416538,1.1024112,-0.33758092,0.9459833449373704,25.186241,31.050018310546875,11.510333,0.94589007,-0.03392434,False,True,True,Cool,Dry,Partly cloudy,False,False,False
2022-06-22,1.9853475,1.5869497,-0.25907278,0.939699798201124,1.725116,1.3890957,0.29923823,0.9577168425014506,1.8097969,1.4501113,0.1787343,0.960197308997199,24.902124,33.25,14.964762,0.84471595,-0.084680915,False,True,True,Cool,Moderate humidity,Partly cloudy,False,False,False
2022-06-23,1.6431901,1.2490628,-0.7929804,0.8584389082215323,1.2553161,0.98998255,-0.18616912,0.890127474771668,1.1983507,0.95895034,-0.22381642,0.8952703566440744,22.878584,27.45001220703125,14.878558,0.6481896,0.05696547,True,True,True,Cool,Moderate humidity,Cloudy,False,False,True
2022-06-24,1.750422,1.3598549,-0.7106556,0.689346633734237,1.1058666,0.8985719,-0.11131348,0.811257443443709,1.0190467,0.8164512,-0.27966717,0.8243765969351671,26.813143,29.149993896484375,15.032051,1.0205197,0.08681989,True,True,True,Moderate,Moderate humidity,Sunny,False,False,False
2022-06-25,1.9876153,1.4564766,-0.769989,0.5312896009546675,1.2046623,0.99148643,-0.58415574,0.7642160563415678,1.2002188,0.9641027,-0.6496556,0.7685038946295485,30.118532,32.050018310546875,15.604464,1.159797,0.0044435263,True,True,True,Hot,Moderate humidity,Sunny,False,False,False
2022-06-26,1.9704638,1.4493532,-0.49511334,0.6137573311558944,1.0248519,0.8451291,-0.4199678,0.8427989580157669,0.9939789,0.79933393,-0.42363957,0.8533121605126897,30.324738,32.550018310546875,17.151903,1.0338864,0.030873,True,True,True,Hot,Moderate humidity,Sunny,False,False,False
2022-06-27,1.4098324,1.0908087,0.1001809,0.8434860526275989,1.2397507,1.0011915,0.72669506,0.9177625419323031,1.1383004,0.94495815,0.6560677,0.9239917202912343,24.725908,29.149993896484375,16.18755,0.76532936,0.101450324,True,True,True,Cool,Moderate humidity,Cloudy,False,False,True
2022-06-28,1.3592094,1.0541362,-0.5152126,0.8178031435543206,0.8760164,0.690693,0.0489974,0.9197488551555331,0.7860345,0.6161889,-0.01056995,0.9279233584441325,24.202265,26.95001220703125,10.776474,1.0991523,0.089981854,True,True,True,Cool,Dry,Sunny,False,False,False
2022-06-29,1.5738273,1.1710033,-0.2119083,0.8018113991357543,0.8654086,0.6879738,0.35466132,0.9390626896520331,0.81103307,0.65040684,0.25266856,0.9408716059796401,26.519312,29.850006103515625,12.012674,1.0901254,0.05437553,True,True,True,Moderate,Dry,Sunny,False,False,False
