Model,RMSE,MAE,Bias,Corr.,RMSE improvement vs interpolation (%)
Interpolation,1.569007396697998,1.193423867225647,-0.5132632255554199,0.9413672355800161,0.0
U-Net T+Elev,1.1698335409164429,0.9023760557174683,-0.07809381186962128,0.963428313334515,25.44117106277658
Transformer T+Elev,1.1547538042068481,0.8840357661247253,-0.12080853432416916,0.9654889608229814,26.40227148469494
Transformer T+Dew Point+Elev,1.1355189085006714,0.8598360419273376,0.150953471660614,0.9660994246539228,27.62819914741067
